feature,group,definition,view_aggregation
edge_density,F_SCENE_GEOM,"fraction of Canny(50,150) edge pixels",median (and IQR where named)
grad_mag_mean,F_SCENE_GEOM,mean Sobel gradient magnitude,median (and IQR where named)
grad_mag_p90,F_SCENE_GEOM,90th percentile Sobel gradient magnitude,median (and IQR where named)
grad_orientation_entropy,F_SCENE_GEOM,"Shannon entropy of the gradient-orientation histogram (36 bins, magnitude-weighted), bits",median (and IQR where named)
line_count,F_SCENE_GEOM,LSD line segments detected,median (and IQR where named)
long_line_count,F_SCENE_GEOM,segments longer than 10 % of the image diagonal,median (and IQR where named)
total_line_length_over_area,F_SCENE_GEOM,sum of segment lengths / (W*H),median (and IQR where named)
median_norm_line_length,F_SCENE_GEOM,median segment length / image diagonal,median (and IQR where named)
horizontal_line_fraction,F_SCENE_GEOM,fraction of segments within 15 deg of horizontal,median (and IQR where named)
vertical_line_fraction,F_SCENE_GEOM,fraction of segments within 15 deg of vertical,median (and IQR where named)
diagonal_line_fraction,F_SCENE_GEOM,fraction of segments that are neither,median (and IQR where named)
line_orientation_entropy,F_SCENE_GEOM,"Shannon entropy of the length-weighted segment orientation histogram (18 bins over 180 deg), bits",median (and IQR where named)
dominant_line_orientation_strength,F_SCENE_GEOM,largest bin share of that histogram,median (and IQR where named)
corner_count_over_area,F_SCENE_GEOM,goodFeaturesToTrack corners / (W*H) * 1e6,median (and IQR where named)
vp_consensus_strength,F_SCENE_GEOM,largest share of segments consistent with a single RANSAC-like vanishing point (skipped if unstable),median (and IQR where named)
orthogonal_line_support,F_SCENE_GEOM,share of segment pairs whose orientations differ by 90 +/- 10 deg,median (and IQR where named)
gray_mean,F_IMAGE_GLOBAL,mean of the grayscale image,median (and IQR where named)
gray_std,F_IMAGE_GLOBAL,standard deviation of the grayscale image,median (and IQR where named)
gray_entropy,F_IMAGE_GLOBAL,"Shannon entropy of the 256-bin grayscale histogram, bits",median (and IQR where named)
saturation_mean,F_IMAGE_GLOBAL,mean HSV saturation,median (and IQR where named)
saturation_std,F_IMAGE_GLOBAL,standard deviation of HSV saturation,median (and IQR where named)
local_contrast,F_IMAGE_GLOBAL,mean of the local std in 16x16 blocks,median (and IQR where named)
laplacian_variance,F_IMAGE_GLOBAL,variance of the Laplacian (focus/sharpness proxy),median (and IQR where named)
border_edge_density,F_BORDER_SCENE,edge density in the outer 20 % border ring,median (and IQR where named)
border_line_count,F_BORDER_SCENE,LSD segments whose midpoint lies in the border ring,median (and IQR where named)
border_long_line_count,F_BORDER_SCENE,"of those, longer than 10 % of the diagonal",median (and IQR where named)
border_horizontal_line_fraction,F_BORDER_SCENE,horizontal share among border segments,median (and IQR where named)
border_vertical_line_fraction,F_BORDER_SCENE,vertical share among border segments,median (and IQR where named)
border_line_orientation_entropy,F_BORDER_SCENE,orientation entropy of border segments,median (and IQR where named)
border_grad_mag_mean,F_BORDER_SCENE,mean gradient magnitude in the border ring,median (and IQR where named)
border_gray_std,F_BORDER_SCENE,grayscale std in the border ring,median (and IQR where named)
self_pred_focal_px,F_MODEL_SELF,median predicted focal over the view (AnyCalib),median (and IQR where named)
self_pred_focal_log_iqr,F_MODEL_SELF,IQR of log predicted focal within the view,median (and IQR where named)
self_pred_k1,F_MODEL_SELF,median predicted radial k1,median (and IQR where named)
self_pred_k2,F_MODEL_SELF,median predicted radial k2,median (and IQR where named)
self_pred_k1_iqr,F_MODEL_SELF,IQR of predicted k1 within the view,median (and IQR where named)
self_pp_offset_norm,F_MODEL_SELF,median |predicted principal point - image centre| / image diagonal,median (and IQR where named)
self_pp_offset_iqr,F_MODEL_SELF,IQR of that offset within the view,median (and IQR where named)
self_fx_over_fy,F_MODEL_SELF,median predicted fx / fy,median (and IQR where named)
disagree_abs_log_any_vs_geo,MODEL_DISAGREEMENT,"|log(f_AnyCalib / f_GeoCalib)| per frame, median over the view",median (and IQR where named)
disagree_signed_log_any_vs_geo,MODEL_DISAGREEMENT,"signed log ratio, median over the view",median (and IQR where named)
disagree_log_iqr,MODEL_DISAGREEMENT,IQR of that signed log ratio within the view,median (and IQR where named)
