experiment,original_hypothesis,test,result,key_numbers,verdict,evidence_level,scope,remaining_uncertainty,next_implication
CAM-EXP-001,"if the camera and coordinate conventions are read correctly, projecting the provided 3D with the provided camera should land on the provided 2D","project provided 3D into every view and compare with the provided 2D, across four datasets","the convention is correct, but a large error tail remains on GigaHands",median 13.171 px in-image; only 43.2 % of joints under 10 px,"PARTIALLY_SUPPORTED - convention validated, data quality not",CONFIRMED_IN_CURRENT_ENVIRONMENT,GigaHands demo subset; the other datasets were convention cross-checks only,the tail's cause was unknown at this point,triggered CAM-EXP-001.1 / 001.2 / 001.3
CAM-EXP-001.1 / 001.2,some large-error observations are genuine annotation or hand-association problems rather than loader mistakes,"human-inspectable overlays, index-space audit against official GigaHands source, repro-video comparison","supported for a substantial part of the tail: an all-zero 2D pattern carrying confidence 1.0, and per-view left/right hand swaps. It does NOT account for the whole tail.","26,083 observations carry the all-zero pattern; 7,101 confirmed identity swaps; still 15,611 BAD_2D_GEOMETRY and 10,207 UNRESOLVED_INSUFFICIENT_GEOMETRY","PARTIALLY_SUPPORTED - named causes for part of the tail, not for all of it",CONFIRMED_IN_CURRENT_ENVIRONMENT,GigaHands demo,"the all-zero pattern is OBSERVED, not a documented sentinel value; and the cause of the BAD_2D_GEOMETRY / unresolved cases was not determined - they were conservatively labelled REVIEW/EXCLUDE rather than guessed",the loader drops all-zero 2D; identity must be checked per camera
CAM-EXP-001.3,the released multi-view 2D and the provided 3D are highly self-consistent,"robust RANSAC triangulation from the released 2D only, never using the provided 3D as an input, plus a wrong-hand control",strongly self-consistent where the 2D is usable,"same-hand median 3.9977 mm, p90 6.4816 mm; wrong-hand control 192.3047 mm",SUPPORTED,CONFIRMED_IN_CURRENT_ENVIRONMENT,self-consistency of one dataset's own annotations,this is NOT accuracy against an independent external ground truth and cannot be written as such,produced the QC labels and the camera-clean / hand-clean / bimanual-clean subsets
CAM-EXP-002,focal error propagates directly into absolute hand depth,"one inference per frame, cached; only the focal-dependent conversion recomputed over a controlled focal sweep","confirmed, and close to proportional, as the pipeline equation Z proportional to f predicts",+/-5 % focal -> 32.801 mm median root shift; 10 % -> 65.602 mm; 20 % -> 131.204 mm,SUPPORTED,ROBUST_BUT_SINGLE_DATASET,"FOCAL LENGTH ONLY, and only the absolute depth of the hand. Principal point, anisotropic focal and distortion were not tested downstream.",the mm figures are specific to this working-distance regime,gives the +/-5 % focal target a physical meaning
CAM-EXP-002,applying the dataset-provided reference focal (GT_EFFECTIVE_FOCAL) in place of the pipeline's training-convention virtual focal places the hand far closer to the reference 3D,"same cached predictions, two focal conventions, identical metric",supported; the median root error was approximately 36.69x lower under the dataset-provided reference focal condition (2881.885 mm -> 78.54 mm),virtual focal 5000 px -> root error 2882 mm; dataset-provided reference focal 922.8 px -> 78.5 mm; root-aligned MPJPE unchanged at 34.404 mm,SUPPORTED,ROBUST_BUT_SINGLE_DATASET,"metric placement, not hand shape - the root-aligned error is identical under both focal conventions. This compares two focal CONVENTIONS on the same predictions; it does not show that 5000 px is an invalid camera intrinsic, which it never claimed to be.","none for the direction; the magnitude is dataset-specific. Substantial absolute error REMAINS under the reference focal condition (median root error 78.54 mm, root-aligned MPJPE 34.404 mm), so this experiment does not rule out downstream hand-model contributions",camera focal handling is a major upstream source of absolute-placement error and is therefore a justified calibration priority before interpreting residual hand-model error -> CAM-EXP-003
CAM-EXP-003,single-frame calibration alone can reach the +/-5 % focal target,"four published single-frame methods on 175 static-camera views, identical frames for every model",rejected - every method is far from the target,"AnyCalib 16.3102 %, GeoCalib 24.9645 %, PF-centered 20.8152 %, PF-uncentered 23.5346 % median; the deployed fixed 5000 px assumption is 442.5284 %",REJECTED,ROBUST_BUT_SINGLE_DATASET,GigaHands optics and resolution; raw images; pinhole model,whether the pinhole assumption itself was the problem,CAM-EXP-003.1
CAM-EXP-003.1,unmodelled lens distortion explains a substantial part of the single-frame focal error,"raw + distortion-aware model, and an oracle GT-undistorted control, paired on the identical frames","confirmed as a contributor, rejected as the whole story","AnyCalib 16.3102 -> 9.546 %, GeoCalib 24.9645 -> 12.162 %; paired gain 6.537 pp [4.573, 8.491] at view clustering",DISTORTION_CONTRIBUTES_BUT_NOT_DOMINANT,ROBUST_BUT_SINGLE_DATASET,"one distortion regime, |k1| 0.34-0.43, so no dose-response conclusion is available",about 10 % median error remains unexplained,CAM-EXP-004 asks whether more frames remove it
CAM-EXP-004,averaging more frames of a static camera reduces random frame-to-frame variation,"all C(8,N) subsets for N = 1, 2, 4, 8, four aggregation rules","true in principle, almost irrelevant in practice for the best model, and clearly useful only for the noisy one",AnyCalib essentially flat; GeoCalib improved; the provable reason is that 91.4 % of AnyCalib's views have all 8 frames erring in the same direction,PARTIALLY_SUPPORTED,ROBUST_BUT_SINGLE_DATASET,GigaHands static views,whether this holds past 8 frames,CAM-EXP-004.1 measured 16/32/64
CAM-EXP-004,most of AnyCalib's residual error is a stable per-view bias rather than within-view noise,decompose the squared log focal error into a per-view mean and a within-view residual,strongly confirmed,AnyCalib 98.08 % bias; median |view bias| 9.63 % vs within-view sd 1.43 %; GeoCalib 53.39 % bias,SUPPORTED,ROBUST_BUT_SINGLE_DATASET,GigaHands static views,the cause of the per-view bias is unknown,this is exactly what CAM-EXP-005 must explain
CAM-EXP-004.1,going from 8 to 64 frames does not remove the residual bias,"a frozen 64-frame manifest, all 175 views, one inference pass, the frozen aggregation rules","confirmed - the curves are flat, and never descended","AnyCalib 9.89 -> 9.966 %; E2 6.46 -> 6.74 %; every paired step CI contains zero. One execution over the same 175 benchmark views, so every N is directly comparable.",CONFIRMED_SATURATION,ROBUST_BUT_SINGLE_DATASET,"up to 64 frames, GigaHands static cameras. Says nothing about hundreds of frames or other rigs.",none within that range,frame count is closed as a lever
