output,source,shape,focal_dependent,allowed_as_primary_feature,feature_group,note
pred_cam.s,WiLoR forward_step output['pred_cam'][0],scalar,0,1,F1_CAMERA_HEAD_OUTPUT,crop-space weak-perspective scale; NOT converted to metric translation
pred_cam.tx,output['pred_cam'][1],scalar,0,1,F1_CAMERA_HEAD_OUTPUT,crop-space; left-hand sign already mirrored
pred_cam.ty,output['pred_cam'][2],scalar,0,1,F1_CAMERA_HEAD_OUTPUT,crop-space
pred_mano_params.betas,output['pred_mano_params']['betas'],"(10,)",0,1,F2_EXPLICIT_HAND_GEOMETRY,MANO shape coefficients
pred_mano_params.global_orient,"(1,3,3) rotation matrix","(3,3)",0,1,F2_EXPLICIT_HAND_GEOMETRY,converted to axis-angle
pred_mano_params.hand_pose,"(15,3,3) rotation matrices","(15,3,3)",0,1,F2_EXPLICIT_HAND_GEOMETRY,converted to axis-angle
pred_keypoints_3d,output['pred_keypoints_3d'],"(21,3)",0,1,F2_EXPLICIT_HAND_GEOMETRY,"ROOT-RELATIVE: cam_t is never added, so this carries no focal"
pred_keypoints_2d,output['pred_keypoints_2d'],"(21,2)",0,1,F0_HAND_VISIBILITY_AND_BOX,normalised crop coordinates; used only for crop-space spread
box_center,ViTDetDataset batch['box_center'],"(2,)",0,1,F0_HAND_VISIBILITY_AND_BOX,detector crop geometry
box_size,batch['box_size'],scalar,0,1,F0_HAND_VISIBILITY_AND_BOX,detector crop geometry
bbox,YOLO detector box in original pixels,"(4,)",0,1,F0_HAND_VISIBILITY_AND_BOX,"screen geometry, not a hand representation"
score,YOLO detector confidence,scalar,0,1,F0_HAND_VISIBILITY_AND_BOX,
is_right,detector side flag,bool,0,1,F0_HAND_VISIBILITY_AND_BOX,used only as a side-consistency statistic
backbone vit_out,WiLoR backbone 4th return value,"(B,1280,16,12)",0,1,F4_LEARNED_HAND_LATENT,image-encoder feature map before the MANO/camera heads; the frozen latent tap for this run
pred_mano_feats,WiLoR backbone 3rd return value,varies,0,0,NOT_USED,"a second candidate latent; NOT used, because only one latent layer is frozen and trying several would be selection on the result"
cam_t / pred_cam_t,"_cam_crop_to_full(pred_cam, ..., scaled_focal)","(3,)",1,0,FORBIDDEN,metric translation computed WITH the pipeline focal; using it would re-inject the camera focal into the predictor
focal_length,"scaled_focal = FOCAL_LENGTH/IMAGE_SIZE * max(W,H)",scalar,1,0,FORBIDDEN,"PIPELINE_BASELINE_FOCAL, a training convention constant per image size"
vertices (absolute),MANO mesh placed by cam_t,"(778,3)",1,0,FORBIDDEN,absolute placement depends on the focal
keypoints_2d in original pixels,_kp2d_crop_to_full,"(21,2)",0,0,NOT_USED_PRIMARY,"derived from the crop transform, not focal-contaminated, but it duplicates box geometry; excluded to keep F0 minimal"
